a	art. 一（个）；每一（个）
block	n. 街区 v. 堵塞，拦阻
blond	n. 白肤金发碧眼的人
blood	n. 血，血液；血统
bloody	adv. [用于加强语气]非常，很 adj. [用于加强语气]非常的；该死的；流血的；嗜杀的 vt. 血染
bloom	v. 开花 n. 花，开花，开花期；青春焕发
blossom	vi. 开花； 发展， 长成 n. 花
blouse	n. 女衬衫；罩衫
blow	v. 吹；吹动；吹响
blue	adj. 蓝色的 n. 蓝色
blueprint	n. 蓝图，设计图
blunder	vi. 跌跌撞撞地走， 慌乱地走； 犯错误 n. 错误
blunt	adj. 钝的；率直的，直言不讳的 vt. 使迟钝； 使减弱； 使钝
blur	v. 变模糊 n. 模糊，模糊的东西
blush	v. 脸红，害臊 n. 脸红
board	vi. 搭伙； 膳宿 n. 板，牌子；木板，纸板；委员会，董事会；伙食 vt. 上
boast	vi. 自夸；自豪 vt. 自夸，吹嘘；以拥有…而自豪 n. 自吹自擂， 自夸的话
boat	n. 小船，艇
body	n. 身体；尸体；主体
bogus	adj. 假冒的
boil	v. 沸腾；汽化；煮沸
boiler	n. 锅炉
bold	adj. 勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的
bolt	n. 螺栓，插销 vt. 闩门
bomb	n. 炸弹 v. 轰炸
bond	v. 黏合， 结合 n. 联结，联系；公债；契约，合同
bone	n. 骨，骨骼
bonus	n. 奖金， 红利； 额外给予的东西
book	n. 书，书籍 v. 预定
booklet	n. 小册子
boom	vi. 激增， 繁荣， 迅速发展； 发出隆隆声 n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声
boost	v. 推动， 促进， 激励； 替…做广告， 宣扬； 提高， 使增长 n. 提高，增长；推动，激励
boot	n. 靴子， 长筒靴； 行李箱； 解雇
booth	n. 小房间， 公用电话亭， 岗亭； 售货棚， 货摊
border	vi. 近似， 与…接壤 n. 边，边缘，边界 vt. 给…加上边，围；邻接
bore	vt. 使厌烦；钻，挖 n. 令人讨厌的人
boring	adj. 令人厌烦的， 乏味的， 无聊的
born	adj. 天生的；出生的
borrow	v. 借，借用，借人
bosom	n. 胸，胸部；内心
boss	n. 老板，上司 v. 指挥
botanical	adj. 植物学的
both	pron. 两者（都）
bother	v. 烦扰，迷惑 n. 麻烦
bottle	n. 瓶，酒瓶；一瓶
bottom	n. 底，底部，根基
bough	n. 树枝
bounce	v. 弹起，反弹，颠跳 n. 弹， 反弹
bound	vi. 跳跃；弹回，反跃 adj. 一定的；有义务的 vt. 跳跃；弹回，反跃；成为…的界限，给…划界 n. 跳跃； 界限， 限制
boundary	n. 分界线， 边界
bourgeois	adj. 中产阶级的；庸俗的；资产阶级的
bow	n. 鞠躬；弓；蝴蝶结
bowel	n. 肠； 内部， 深处
bowl	n. 碗，钵；碗状物
box	n. （法庭的）专席
boy	n. 男孩，少年；家伙
boycott	v. 联合抵制 n. 抵制行动，受抵制时期
brace	vi. 做好准备；振作精神 vt. 使防备，使受锻炼；支住，撑牢，使绷紧 n. 支架， 托架
bracket	n. 括号；等级段，档次；壁架，托架 vt. 把…置于括号内； 把…归入同一类
brain	n. 脑，脑髓；脑力
brake	v. 制动； 刹住， 用闸使放慢速度 n. 闸，刹车
branch	n. 树枝；分部；分科
brand	n. 商标，牌子 vt. 铭刻， 打烙印于； 加污名于， 谴责
brandy	n. 白兰地酒
brass	n. 黄铜， 黄铜器， 铜管乐器
brave	adj. 勇敢的； 华丽的
breach	n. 破坏，违反；破裂，不和；缺口，裂口 vt. 攻破， 在…造成缺口； 破坏， 违反
bread	n. 面包；食物，粮食
breadth	n. 宽度； 幅度， 幅面
break	v. 打破；损坏；破坏
breakdown	n. 垮台， 破裂； 衰竭， 衰弱； 损坏， 故障； 明细， 清单
breakfast	n. 早饭，早餐
breakthrough	n. 突破， 突破性进展， 重要的新发现
breast	n. 乳房； 胸脯， 胸膛
breath	n. 气息，呼吸
breathe	v. 呼吸
breed	v. 繁殖； 养育， 培育； 酿成， 产生 n. 品种
breeze	vi. 飘然而行 n. 微风，和风
breezy	adj. 轻松愉快的
brew	vi. 冲泡；酝酿，行将发生 vt. 酿造；冲泡 n. 冲泡的饮料
bribe	vt. 向…贿赂，买通 n. 贿赂， 行贿物
brick	n. 砖， 砖块， 砖状物
bride	n. 新娘
bridegroom	n. 新郎
bridge	v. 架桥于…之上；缩小
bridle	n. 马笼头；马勒 v. 束缚；抑制
brief	adj. 简短的，短暂的 vt. 向…介绍基本情况，做…的提要 n. 概要， 摘要
briefcase	n. 公文包， 公事包
bright	adj. 明亮的；聪明的
brighten	v. 使发光；使快活
brightness	n. 明亮，辉煌，聪明
brilliant	adj. 才华横溢的；极好的
brim	n. 边，边缘；帽沿
bring	v. 带来；引出；促使
brink	n. 边缘， 边沿
brisk	adj. 轻快的， 生气勃勃的； 兴隆的， 繁忙活跃的； 寒冷而清新的
bristle	n. 短而硬的毛；鬃毛
Britain	n. 不列颠，英国
British	adj. 不列颠的，英联邦的
brittle	adj. 脆的；易损坏的
broad	adj. 宽的，阔的；广泛的
broadcast	n. 广播，播音
broaden	v. 放宽，变阔
brochure	n. 小册子
broken	adj. 被打碎的；骨折的
bronze	n. 青铜， 青铜色， 古铜色； 青铜制品， 铜牌
brood	vi. 沉思，考虑；孵蛋 n. 一窝； 全体孩子
brook	n. 小河，溪流
broom	n. 扫帚
brother	n. 兄弟；同事，同胞
brow	n. 额， 眉， 眉毛
brown	n. 褐色，棕色
bruise	n. 青肿，挫伤；伤痕，擦痕 vt. 打青， 使受淤伤； 挫伤， 伤害
brush	n. 刷子，毛刷；画笔
brutal	adj. 野兽般的， 残忍的； 无情的， 冷酷的， 难以忍受的
brute	n. 禽兽，畜生
bubble	vi. 冒泡， 起泡， 沸腾 n. 泡，泡沫，水泡，气泡；幻想的计划
buck	vi. 猛然弓背跃起 n. 美元，澳元；雄鹿，雄兔
bucket	n. 水桶， 吊桶； 铲斗
bud	vi. 发芽， 萌芽 n. 花蕾，叶芽
Buddhism	n. 佛教，释教
budget	v. 规划，安排；编预算 adj. 低廉的， 收费公道的 n. 预算，预算拨款
buffalo	n. 水牛；水陆坦克
bug	n. 虫子；小病；故障，缺陷；窃听器 vt. 烦扰， 纠缠； 在…装窃听器
bugle	n. 军号，喇叭
build	v. 建筑；建立；创立
building	n. 建筑物，大楼；建筑
bulb	n. 电灯泡， 球状物
bulk	vi. 变得越来越大； 使更大 n. 物体；体积；大批
bull	n. 公牛； 雄兽； 买进证券投机图利者， 看涨的人
bullet	n. 枪弹， 子弹， 弹丸
bulletin	n. 简明新闻， 最新消息； 公告， 布告， 公报； 学报， 期刊
bully	n. 恃强欺弱者 vt. 威吓， 欺负
bump	vi. 碰，撞；颠簸着前进 n. 碰撞， 猛撞； 肿块； 隆起物
bunch	vi. 集中， 挤在一起； 形成一束 n. 群，伙；束，串，捆 vt. 使成一束
bundle	n. 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入
burden	n. 重担，精神负担 vt. 加重压于， 烦扰； 负担， 装载
bureau	n. 局， 司， 处， 社， 所
bureaucracy	n. 官僚主义， 官僚作风； 官僚机构； 官僚制度； 官僚
burglar	n. 夜盗，窃贼
burial	n. 葬， 掩埋； 葬礼
burn	v. 烧，燃烧 n. 烧伤
burner	n. 煤气头
burst	vi. 爆裂，爆炸；挤满；突然打开；突然发作 vt. 使爆炸；突然打开 n. 爆炸
bury	v. 埋葬，葬；埋藏
bus	n. 公共汽车
bush	n. 灌木，灌木丛，矮树
bushel	n. 蒲式耳（容量单位）
business	n. 商业，生意；事务；事务
bust	vi. 爆裂，坏掉 vt. 打破，打碎 n. 胸像， 半身像； 胸部， 胸围
busy	adj. 忙的；繁忙的
but	conj. 但是，可是
butcher	n. 肉商，肉贩，屠夫 vt. 屠宰， 残杀
butt	n. 大酒桶，桶
butter	n. 黄油；奶油
butterfly	n. 蝴蝶
button	n. 扣子；按钮 v. 扣紧
buy	v. 买，购买
buzz	vi. 发出嗡嗡声；忙乱，急行；发出嘈杂的谈话声 n. 嗡嗡声； 嘈杂的谈话声
by	prep. 在…旁；被，由
bypass	n. 旁道，迂回道 vt. 绕过， 绕…走； 越过， 置…于不顾
cabbage	n. 洋白菜， 卷心菜
cabin	n. 小屋； 船舱， 机舱
cabinet	n. 橱， 柜； 内阁
cable	n. 缆，索，电缆，电报 vt. 给… 发电报， 用电报传送
cafe	n. 咖啡馆；小餐厅
cafeteria	n. 自助餐馆， 自助食堂
cage	n. 笼；鸟笼，囚笼
cake	n. 饼，糕，蛋糕
calcium	n. 钙
calculate	v. 计算， 推算； 计划， 打算
calculation	n. 计算，计算结果
calculator	n. 计算器， 计算者
calculus	n. 微积分；结石
calendar	n. 日历， 历书， 历法
calibration	n. 校准；标定，刻度
call	v. 把…叫做；叫，喊
calm	adj. 静的，平静的 v. 平静， 镇静
calorie	n. 大卡； 卡
camel	n. 骆驼
camera	n. 照相机，摄影机
camp	n. 野营，营地，兵营
campaign	vi. 参加运动； 参加竞选 n. 战役；运动
campus	n. 校园， 学校场地
can	n. 罐头，听头；容器
Canada	n. 加拿大
Canadian	adj. 加拿大的
canal	n. 运河， 沟渠； 管
cancel	vt. 取消， 撤销， 删去
cancer	n. 癌， 癌症， 肿瘤
candidate	n. 候选人， 投考者， 申请求职者
candle	n. 蜡烛
candy	n. 糖果
cane	n. （藤等）茎；手杖
cannon	n. 加农炮， 大炮， 火炮
canoe	n. 独木舟，皮艇，划子
canteen	n. 小卖部；临时餐室
canvas	n. 帆布； 帆布画布， 油画
cap	n. 帽子，便帽；帽状物
capability	n. 能力，才能
capable	adj. 有能力的， 有才能的
capacitance	n. 电容，电容量
capacitor	n. 电容器
capacity	n. 容量； 能力； 能量； 才能； 身份， 地位
cape	n. 斗篷， 披肩； 海角， 岬
capital	adj. 资金的，资本的
capsule	n. 胶囊； 航天舱， 密封舱
captain	n. 陆军上尉；队长
caption	n. 说明文字， 字幕
captive	adj. 被俘虏的，被捕获的 n. 俘虏
capture	vt. 捕获， 俘获； 夺得
car	n. 汽车，小汽车，轿车
carbon	n. 碳
card	n. 卡；卡片；名片
cardinal	adj. 最重要的； 基本的 n. 红衣主教；【数】基数
care	v. 介意；关心 n. 小心
career	n. 生涯， 职业， 经历
careful	adj. 仔细的；细致的
caregiver	n. 照料者
careless	adj. 粗心的；漫不经心的
cargo	n. 船货， 货物
carpenter	n. 木工， 木匠
carpentry	n. 木工活
carpet	n. 地毯，毡毯，毛毯
carriage	n. 客车厢， 四轮马车
carrier	n. 运输工具， 运载工具； 带菌者； 载重架， 置物架
carrot	n. 胡萝卜
carry	v. 携带；运载；传送
cart	n. 二轮运货马车
cartoon	n. 卡通画， 幽默画； 动画片， 卡通片
cartridge	n. 弹药筒
carve	vt. 切， 把…切碎； 雕刻， 刻
case	n. 情况；病例；事实
cash	n. 现金，现款 vt. 把…兑现
cashier	n. 出纳
cassette	n. 盒式录音带
cast	vt. 投，扔，抛；浇铸 n. 演员表， 全体演员； 石膏绷带； 铸型， 铸件； 投， 抛
castle	n. 城堡；巨大建筑物
casual	adj. 偶然的； 非正式的； 临时的， 不定期的； 漠不关心的， 冷淡的
casualty	n. 伤亡人员， 死伤者； 受害人， 损失的东西
cat	n. 猫，；猫科动物
catalog	n. 目录，目录册；一系列 vt. 将…编入目录， 将编目
catalogue	n. 目录 v. 为…编目录，把…列入目录中
catalyst	n. 催化剂；刺激因素
catastrophe	n. 大灾难， 灾祸
catch	v. 捉住；赶上；领会
category	n. 种类， 类， 类别
cater	vi. 满足需要， 迎合； 提供饮食及服务， 承办酒席
cathedral	n. 总教堂；大教堂
catholic	adj. [C-]天主教的；普遍的，广泛的 n. [C-]天主教徒
cattle	n. 牛； 牲口， 家畜
cause	n. 原因；理由；事业
caution	n. 小心，谨慎；注意，警告 vt. 警告， 劝…小心
cautious	adj. 十分小心的， 谨慎的
cave	n. 山洞，洞穴，窑洞
cavity	n. 洞， 穴， 凹处； 龋洞
cease	v. 停止，停息 n. 停止，停息
ceiling	n. 天花板，顶蓬
celebrate	v. 庆祝；歌颂，赞美
cell	n. 细胞；小房间
cellar	n. 地窖， 地下室； 酒窖
cement	n. 水泥，胶泥 vt. 黏结； 巩固， 使团结
cemetery	n. 墓地， 公墓
censor	v. 审查，检查
census	n. 人口普查， 统计
cent	n. 分；分币
center	n. 圆心， 正中； 中心
centigrade	adj. 百分度的； 摄氏的
centimetre	n. 公分， 厘米
central	adj. 中心的；主要的
centre	n. 中心；中枢 v. 集中
century	n. 世纪；百年
ceramic	adj. 陶器的 n. 陶瓷器
cereal	n. 加工而成的谷类食物； 谷类植物， 谷物
ceremony	n. 典礼， 仪式， 礼节
certain	adj. 肯定的；确实的
certainly	adv. 一定，必定；当然
certainty	n. 必然的事， 确定的事实； 确信， 确实
certificate	n. 证书，证件，执照；（毕业）文凭，合格证书
certification	n. 证书
certify	vt. 证明， 证实； 发证书给
chain	n. 链，链条
chair	n. 椅子；主席
chairman	n. 主席；议长，会长
chalk	n. 白垩；粉笔
challenge	n. 挑战，邀请比赛；艰巨的任务；怀疑，质问 vt. 反对， 公然反抗； 向…挑战； 对…质疑
chamber	n. 〔人体内或某些机器中的〕室，腔；会议室；房间
champagne	n. 香槟酒
champion	n. 冠军， 得胜者； 捍卫者， 拥护者
chance	n. 机会，机遇；可能性
change	n. 改变，变化；零钱
channel	n. 海峡， 水道， 航道； 渠道， 途径； 频道
chant	vt. 反复有节奏地喊叫；吟诵，咏唱 n. 反复有节奏的喊叫； 赞美诗， 圣歌
chaos	n. 混乱， 紊乱
chap	n. 小伙子， 男人， 家伙
chapel	n. 小教堂， 祈祷室
chapter	n. 章， 回， 篇
character	n. 性格， 特性； 性质； 人物， 角色； 符号， 字
characteristic	adj. 特有的，典型的 n. 特性
characterize	vt. 成为…的特征， 以…为特征； 描绘的特性， 描述
charcoal	n. 炭，木炭；生物炭
charge	v. 索价；控告；使充电，使充满；向前冲 n. 费用； 管理； 控告， 指责； 电荷， 充电
charity	n. 救济金， 施舍物； 慈善团体， 慈善事业； 宽大， 宽容
charm	n. 迷人的特性，魅力；符咒，咒文 vt. 吸引， 迷住
charming	adj. 迷人的，可爱的
chart	n. 图表；航海图 vt. 用图表表示， 在图上表示
charter	adj. 包租的， 租用的 n. 宪章，共同纲领；特许状，许可证；包租 vt. 包，租
chase	n&vt. 追逐， 追赶， 追求
chat	v. 聊天
chatter	v. 喋喋不休 n. 喋喋不休
cheap	adj. 廉价的；劣质的
cheat	v. 欺骗；作弊；哄，行骗 n. 欺骗， 欺骗行为； 骗子
check	v. 检查；制止 n. 检查
cheek	n. 面颊，脸蛋
cheer	v. 使振作；欢呼
cheerful	adj. 快乐的， 愉快的； 使人感到愉快的
cheese	n. 奶酪，干酪
chef	n. 厨师
chemical	adj. 化学的 n. 化学制品
chemist	n. 化学家， 药剂师
chemistry	n. 化学
cheque	n. 支票
cherish	vt. 珍爱， 珍视； 爱护， 抚育； 抱有， 怀有
cherry	n. 樱桃；樱桃树
chess	n. 棋；国际象棋
chest	n. 胸腔， 胸膛； 箱子
chestnut	n. 栗子；栗树；栗色
chew	vt. 咀嚼， 嚼碎
chicken	n. 鸡；鸡肉
chief	adj. 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长
child	n. 小孩，儿童；儿子/女儿
childhood	n. 童年， 幼年， 早期
childish	adj. 孩子的；幼稚的
chill	v. 变冷，感到冷 n. 寒冷， 寒气； 风寒， 寒战
chimney	n. 烟囱，烟筒
chin	n. 颏， 下巴
China	n. 中国
Chinese	adj. 中国的 n. 中国人
chip	n. 屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵
chocolate	n. 巧克力；巧克力糖
choice	n. 入选者 adj. 优等的
choke	vt. 使窒息； 塞满， 塞住
cholesterol	n. 胆固醇
choose	v. 选择，挑选；情愿
chop	vt. 砍，劈；切细 n. 排骨
chord	n. 和弦， 和音； 弦， 心弦
chorus	n. 合唱队；合唱，合唱曲；副歌，叠句；齐声，齐声说的话 vt. 齐声说， 随声附和
Christ	n. 救世主（耶稣基督）
Christian	adj. 基督教的 n. 基督教徒，信徒
Christmas	n. 圣诞节
chronic	adj. 慢性的， 久病的； 长久的， 不断的； 积习难改的
chronically	adv. 慢性地；持久地
chronicle	v. 记录
chunk	n. 厚片， 大块； 相当大的部分
church	n. 教堂，礼拜堂；教会
cigar	n. 雪茄烟，叶卷烟
cigaret	n. 香烟，纸烟，卷烟
cigarette	n. 香烟， 纸烟， 卷烟
cinema	n. 电影院；电影，影片
circle	n. 圆；圆周；圈子
circuit	n. 电路， 线路； 环行， 巡行
circular	adj. 圆的；循环的；兜圈子的 n. 通知， 通告
circulate	v. 循环， 流通； 流传， 散布， 传播
